Time (sec),ECU: A/F Corr. B1 (%),ECU: A/F Corr. B2 (%),ECU: Active Map (#),ECU: Air Fuel B1 (AFR),ECU: Air Fuel B1 CMD (AFR),ECU: Air Fuel B2 (AFR),ECU: Air Fuel B2 CMD (AFR),ECU: Ethanol % (%),ECU: Fuel Pressure (PSI),ECU: Gear (Gear),ECU: Ign Advance (°),ECU: Inj. Duty Cycle (%),ECU: Int. Cam Adv B1 (°),ECU: Int. Cam Adv B2 (°),ECU: Intake Air Temp (° F),ECU: Knock Sums (raw),ECU: LTFT B1 (%),ECU: LTFT B2 (%),ECU: Limp Status (Safety) (raw),ECU: MAP (PSI),ECU: RPM (RPM),ECU: STFT B1 (%),ECU: STFT B2 (%),ECU: Theo. PW (ms),ECU: Throttle Pos. B1 (%),ECU: Vehicle Speed (mph),ECU: Wastegate Duty (%),TCM: Clutch A Slip (RPM),TCM: Clutch B Slip (RPM),AP Info:[AP3-NIS-006 v1.7.3.0-14238][2011 Nissan GT-R USDM Speed Density][Reflash: 2011 USDM SD FF 1700ID A12x Bach Racing 12426 v800.ptm - TCM: KB51B VDC OFF Stock Style LC4 v101.ptm]
0.000,119,116,1.00,13.96,13.52,14.41,13.52,81,57.29,1,17,1.76,0.00,0.00,111,0,100,100,0,-9.21,1188,119,116,2.20,14.2,6,0.00,568,94,0
0.055,117,116,1.00,13.67,13.52,14.11,13.52,81,57.58,1,17,1.75,0.00,0.00,111,0,100,100,0,-9.13,1175,117,116,2.20,14.2,6,0.00,546,65,0
0.139,115,116,1.00,13.52,13.52,13.96,13.52,81,57.47,1,17,1.72,-0.50,0.00,111,0,100,100,0,-9.02,1162,115,116,2.20,14.3,6,0.00,545,64,0
0.201,113,116,1.00,13.08,13.52,13.82,13.52,81,57.58,1,17,1.70,0.00,0.00,111,0,100,100,0,-9.02,1150,113,116,2.20,14.2,6,0.00,523,41,0
0.255,112,116,1.00,12.79,13.52,13.67,13.52,81,57.54,1,17,1.69,0.00,0.00,111,0,100,100,0,-8.95,1150,112,116,2.20,14.2,6,0.00,526,44,0
0.350,111,115,1.00,12.79,13.52,13.67,13.52,81,57.32,1,17,1.69,-0.50,0.00,111,0,100,100,0,-8.95,1150,111,115,2.20,14.3,6,0.00,531,49,0
0.424,110,113,1.00,12.64,13.52,13.38,13.52,81,57.61,1,17,1.69,0.00,0.00,111,0,100,100,0,-8.92,1150,110,113,2.20,14.2,6,0.00,523,42,0
0.519,109,112,1.00,12.64,13.52,13.23,13.52,81,57.54,1,17,1.69,0.00,0.00,111,0,100,100,0,-8.92,1150,109,112,2.20,14.2,6,0.00,525,43,0
0.572,107,110,1.00,12.49,13.52,12.94,13.52,81,57.80,1,17,1.68,0.00,0.50,111,0,100,100,0,-8.77,1138,107,110,2.20,14.2,6,0.00,519,41,0
0.625,106,109,1.00,12.49,13.52,12.79,13.52,81,57.29,1,17,1.67,-0.50,0.00,111,0,100,100,0,-8.73,1138,106,109,2.20,14.2,6,0.00,512,35,0
0.690,106,108,1.00,12.49,13.52,12.64,13.52,81,57.98,1,17,1.66,0.00,0.50,111,0,100,100,0,-8.77,1138,106,108,2.20,14.2,6,0.00,521,46,0
0.735,105,107,1.00,12.49,13.52,12.64,13.52,81,57.61,1,17,1.68,-0.50,0.00,111,0,100,100,0,-8.77,1150,105,107,2.20,14.2,6,0.00,524,50,0
0.788,104,107,1.00,12.49,13.52,12.64,13.52,81,57.61,1,17,1.67,0.00,0.50,111,0,100,100,0,-8.73,1150,104,107,2.20,14.2,6,0.00,532,60,0
0.841,104,106,1.00,12.49,13.52,12.64,13.52,81,57.58,1,17,1.68,-0.50,0.00,111,0,100,100,0,-8.66,1150,104,106,2.20,14.2,6,0.00,526,55,0
0.890,103,105,1.00,12.64,13.52,12.49,13.52,81,57.43,1,17,1.69,0.50,0.50,111,0,100,100,0,-8.59,1150,103,105,2.20,14.2,6,0.00,536,68,0
0.963,103,105,1.00,12.64,13.52,12.49,13.52,81,57.69,1,17,1.68,-0.50,0.00,111,0,100,100,0,-8.66,1150,103,105,2.20,14.2,6,0.00,548,82,0
1.017,102,104,1.00,12.79,13.52,12.49,13.52,81,57.80,1,17,1.69,0.00,0.00,111,0,100,100,0,-8.84,1162,102,104,2.20,14.3,6,0.00,558,92,0
1.074,102,103,1.00,12.79,13.52,12.49,13.52,81,57.65,1,17,1.69,-0.50,0.00,111,0,100,100,0,-8.77,1162,102,103,2.20,14.2,6,0.00,559,95,0
1.147,101,102,1.00,12.79,13.52,12.49,13.52,81,57.94,1,16,1.66,0.00,0.00,111,0,100,100,0,-8.77,1150,101,102,2.20,14.2,6,0.00,552,92,0
1.202,101,101,1.00,12.94,13.52,12.49,13.52,81,57.83,1,15,1.63,0.00,0.50,111,0,100,100,0,-8.84,1138,101,101,2.20,14.2,6,0.00,546,88,0
1.254,101,101,1.00,13.08,13.52,12.49,13.52,81,58.01,1,14,1.65,-0.50,0.00,111,0,100,100,0,-8.84,1138,101,101,2.20,14.2,6,0.00,545,91,0
1.320,101,100,1.00,13.23,13.52,12.49,13.52,81,57.80,1,14,1.61,0.00,0.50,111,0,100,100,0,-8.77,1112,101,100,2.20,14.2,6,0.00,530,81,0
1.383,102,100,1.00,13.38,13.52,12.49,13.52,81,57.90,1,15,1.57,-0.50,0.00,111,0,100,100,0,-8.77,1088,102,100,2.20,14.2,6,0.00,511,67,0
1.439,103,99,1.00,13.52,13.52,12.49,13.52,81,57.80,1,16,1.55,0.00,0.50,111,0,100,100,0,-8.73,1075,103,99,2.20,14.2,6,0.00,504,63,0
1.482,103,99,1.00,13.52,13.52,12.49,13.52,81,57.90,1,15,1.56,-0.50,0.00,111,0,100,100,0,-8.66,1075,103,99,2.20,14.2,6,0.00,518,81,0
1.540,103,98,1.00,13.67,13.52,12.64,13.52,81,57.76,1,16,1.54,0.00,0.50,111,0,100,100,0,-8.66,1062,103,98,2.20,14.2,5,0.00,495,62,0
1.598,104,98,1.00,13.67,13.52,12.64,13.52,81,58.34,1,16,1.52,-0.50,0.00,111,0,100,100,0,-8.66,1038,104,98,2.40,14.2,5,0.00,489,61,0
1.662,104,98,1.00,13.82,13.52,12.64,13.52,81,58.01,1,17,1.52,0.00,0.50,111,0,100,100,0,-8.55,1025,104,98,2.40,14.2,5,0.00,487,64,0
1.724,105,97,1.00,13.96,13.52,12.79,13.52,81,58.30,1,17,1.50,0.00,0.50,111,0,100,100,0,-8.48,1012,105,97,2.40,14.2,5,0.00,471,55,0
1.779,105,97,1.00,13.96,13.52,12.94,13.52,81,58.16,1,17,1.49,0.00,0.50,111,0,100,100,0,-8.44,1000,105,97,2.40,14.2,5,0.00,473,65,0
1.829,106,97,1.00,14.11,13.52,13.08,13.52,81,58.70,1,17,1.49,0.00,0.50,111,0,100,100,0,-8.37,1000,106,97,2.40,14.2,5,0.00,478,74,0
1.910,106,98,1.00,14.11,13.52,13.23,13.52,81,58.09,1,17,1.51,0.00,0.50,111,0,100,100,0,-8.26,1000,106,98,2.40,14.2,5,0.00,491,95,0
1.963,107,98,1.00,14.26,13.52,13.38,13.52,81,58.63,1,17,1.56,0.00,0.50,111,0,100,100,0,-8.08,1012,107,98,2.60,14.2,5,0.00,511,122,0
2.019,108,99,1.00,14.41,13.52,13.52,13.52,81,58.45,1,16,1.59,0.00,0.50,111,0,100,100,0,-8.19,1025,108,99,2.60,14.2,5,0.00,528,145,0
2.076,109,99,1.00,14.41,13.52,13.67,13.52,81,58.63,1,16,1.58,0.00,0.00,111,0,100,100,0,-8.26,1038,109,99,2.40,14.2,5,0.00,544,168,0
2.131,110,99,1.00,14.55,13.52,13.67,13.52,81,58.48,1,16,1.57,0.00,0.50,111,0,100,100,0,-8.19,1025,110,99,2.40,14.2,4,0.00,548,177,0
2.196,111,99,1.00,14.55,13.52,13.82,13.52,81,58.34,1,16,1.62,-0.50,0.00,111,0,100,100,0,-8.26,1050,111,99,2.40,14.2,4,0.00,566,200,0
2.261,111,100,1.00,14.41,13.52,13.82,13.52,81,58.52,1,16,1.64,0.00,0.50,111,0,100,100,0,-8.19,1050,111,100,2.60,14.2,4,0.00,578,215,0
2.322,112,100,1.00,14.41,13.52,13.96,13.52,81,58.52,1,16,1.66,0.00,0.00,111,0,100,100,0,-8.08,1062,112,100,2.60,14.2,4,0.00,596,235,0
2.374,113,101,1.00,14.26,13.52,13.96,13.52,81,58.30,1,16,1.66,0.00,0.00,111,0,100,100,0,-8.19,1062,113,101,2.40,14.2,4,0.00,594,235,0
2.437,113,101,1.00,14.11,13.52,13.96,13.52,81,58.34,1,15,1.67,0.00,0.00,111,0,100,100,0,-8.19,1075,113,101,2.40,14.2,4,0.00,616,263,0
2.494,113,101,1.00,14.11,13.52,13.96,13.52,81,58.34,1,15,1.67,0.00,0.00,111,0,100,100,0,-8.26,1075,113,101,2.40,14.2,4,0.00,621,269,0
2.560,113,102,1.00,13.96,13.52,13.96,13.52,81,58.45,1,14,1.71,0.00,0.50,113,0,100,100,0,-8.37,1100,113,102,2.40,14.2,4,0.00,648,300,0
2.619,113,102,1.00,13.82,13.52,13.96,13.52,81,58.38,1,14,1.70,-0.50,0.00,111,0,100,100,0,-8.37,1112,113,102,2.40,14.2,4,0.00,663,322,0
2.675,112,102,1.00,13.67,13.52,13.96,13.52,81,58.27,1,14,1.68,0.00,0.50,113,0,100,100,0,-8.37,1100,112,102,2.40,14.2,4,0.00,668,332,0
2.719,111,103,1.00,13.52,13.52,13.96,13.52,81,58.45,1,14,1.70,-0.50,0.00,113,0,100,100,0,-8.37,1112,111,103,2.40,14.2,4,0.00,674,342,0
2.772,110,103,1.00,13.38,13.52,13.96,13.52,81,58.30,1,14,1.69,0.50,0.50,113,0,100,100,0,-8.30,1112,110,103,2.40,14.2,4,0.00,686,361,0
2.826,109,103,1.00,13.08,13.52,13.96,13.52,81,57.76,1,14,1.69,-0.50,0.00,113,0,100,100,0,-8.37,1112,109,103,2.40,14.2,4,0.00,692,372,0
2.872,108,104,1.00,12.94,13.52,13.96,13.52,81,58.48,1,14,1.65,0.00,0.50,113,0,100,100,0,-8.55,1112,108,104,2.40,14.2,4,0.00,712,399,0
2.927,107,104,1.00,12.79,13.52,13.96,13.52,81,57.83,1,14,1.64,-0.50,0.00,113,0,100,100,0,-8.55,1100,107,104,2.40,14.2,4,0.00,706,398,0
2.979,107,104,1.00,12.79,13.52,13.96,13.52,81,58.09,1,14,1.68,0.00,0.00,113,0,100,100,0,-8.55,1112,107,104,2.40,14.2,4,0.00,719,418,0
3.027,106,104,1.00,12.79,13.52,13.96,13.52,81,57.72,1,14,1.65,0.00,0.00,113,0,100,100,0,-8.55,1100,106,104,2.40,14.2,4,0.00,719,423,0
3.081,105,104,1.00,12.64,13.52,13.96,13.52,81,57.98,1,14,1.63,0.00,0.00,113,0,100,100,0,-8.55,1100,105,104,2.40,14.2,4,0.00,722,429,0
3.135,105,104,1.00,12.64,13.52,13.82,13.52,81,58.12,1,14,1.62,0.00,0.00,113,0,100,100,0,-8.59,1100,105,104,2.40,14.2,4,0.00,728,440,0
3.183,104,105,1.00,12.64,13.52,13.82,13.52,81,57.90,1,14,1.61,0.00,0.00,113,0,100,100,0,-8.59,1100,104,105,2.20,14.2,4,0.00,731,444,0
3.236,104,105,1.00,12.64,13.52,13.82,13.52,81,58.12,1,14,1.60,0.00,0.00,113,0,100,100,0,-8.59,1075,104,105,2.40,14.2,4,0.00,719,435,0
3.283,103,105,1.00,12.64,13.52,13.82,13.52,81,57.98,1,15,1.59,-0.50,0.00,113,0,100,100,0,-8.44,1075,103,105,2.40,14.2,4,0.00,707,426,0
3.336,103,105,1.00,12.64,13.52,13.82,13.52,81,57.87,1,14,1.57,0.00,0.50,113,0,100,100,0,-8.48,1062,103,105,2.40,14.2,4,0.00,717,438,0
3.390,102,105,1.00,12.64,13.52,13.82,13.52,81,58.27,1,15,1.55,-0.50,0.00,113,0,100,100,0,-8.55,1062,102,105,2.40,14.2,3,0.00,709,435,0
3.454,102,105,1.00,12.64,13.52,13.67,13.52,81,58.05,1,15,1.54,0.00,0.50,113,0,100,100,0,-8.44,1050,102,105,2.40,14.2,3,0.00,707,438,0
3.503,101,105,1.00,12.79,13.52,13.67,13.52,81,58.27,1,16,1.53,-0.50,0.00,113,0,100,100,0,-8.55,1050,101,105,2.40,14.2,3,0.00,708,444,0
3.548,101,105,1.00,12.79,13.52,13.67,13.52,81,58.19,1,16,1.55,0.00,0.50,113,0,100,100,0,-8.48,1050,101,105,2.40,14.2,3,0.00,717,459,0
3.616,101,105,1.00,12.94,13.52,13.67,13.52,81,58.23,1,17,1.52,-0.50,0.50,113,0,100,100,0,-8.48,1038,101,105,2.40,14.2,3,0.00,706,453,0
3.664,101,105,1.00,12.94,13.52,13.67,13.52,81,58.16,1,17,1.50,0.00,0.50,113,0,100,100,0,-8.48,1025,101,105,2.40,14.2,3,0.00,707,462,0
3.710,101,105,1.00,13.23,13.52,13.67,13.52,81,58.16,1,17,1.51,-0.50,0.50,113,0,100,100,0,-8.44,1025,101,105,2.40,14.2,3,0.00,718,477,0
3.776,102,105,1.00,13.38,13.52,13.67,13.52,81,58.45,1,16,1.50,0.00,0.50,113,0,100,100,0,-8.44,1025,102,105,2.40,14.2,3,0.00,723,489,0
3.854,102,105,1.00,13.52,13.52,13.67,13.52,81,58.27,1,17,1.52,0.00,0.50,113,0,100,100,0,-7.97,1000,102,105,2.40,14.2,2,0.00,707,482,0
3.906,103,105,1.00,13.67,13.52,13.67,13.52,81,58.52,1,17,1.47,0.50,0.50,113,0,100,100,0,-8.19,988,103,105,2.40,14.2,2,0.00,709,491,0
3.963,103,105,1.00,13.67,13.52,13.67,13.52,81,58.48,1,17,1.52,0.00,0.50,113,0,100,100,0,-8.26,1000,103,105,2.40,14.2,2,0.00,723,511,0
4.012,104,105,1.00,13.82,13.52,13.67,13.52,81,58.85,1,17,1.52,0.50,0.50,113,0,100,100,0,-8.26,1012,104,105,2.60,14.2,2,0.00,741,536,0
4.075,104,105,1.00,13.82,13.52,13.67,13.52,81,58.67,1,17,1.53,-0.50,0.50,113,0,100,100,0,-8.19,1012,104,105,2.40,14.2,2,0.00,757,557,0
4.134,105,106,1.00,13.96,13.52,13.67,13.52,81,58.67,1,17,1.55,0.50,0.50,113,0,100,100,0,-8.19,1025,105,106,2.40,14.2,2,0.00,771,577,0
4.202,105,106,1.00,13.96,13.52,13.67,13.52,81,58.70,1,17,1.56,0.00,0.50,113,0,100,100,0,-8.19,1012,105,106,2.40,14.2,2,0.00,768,577,0
4.267,106,106,1.00,14.11,13.52,13.67,13.52,81,58.48,1,17,1.57,0.00,0.50,113,0,100,100,0,-8.12,1025,106,106,2.60,14.2,2,0.00,791,606,0
4.332,106,106,1.00,14.11,13.52,13.67,13.52,81,58.56,1,16,1.56,-0.50,0.00,113,0,100,100,0,-8.19,1038,106,106,2.40,14.2,2,0.00,799,619,0
4.384,106,106,1.00,14.11,13.52,13.67,13.52,81,58.09,1,16,1.55,0.00,0.50,113,0,100,100,0,-8.19,1025,106,106,2.40,14.2,2,0.00,806,630,0
4.450,107,106,1.00,13.96,13.52,13.67,13.52,81,58.63,1,16,1.59,-0.50,0.00,113,0,100,100,0,-8.12,1038,107,106,2.60,14.2,2,0.00,819,649,0
4.517,107,106,1.00,13.96,13.52,13.67,13.52,81,58.74,1,16,1.59,0.00,0.50,113,0,100,100,0,-8.08,1038,107,106,2.60,14.2,2,0.00,835,672,0
4.580,107,106,1.00,13.96,13.52,13.67,13.52,81,58.48,1,16,1.63,0.00,0.00,113,0,100,100,0,-8.12,1050,107,106,2.60,14.2,2,0.00,845,683,0
4.628,107,106,1.00,13.82,13.52,13.52,13.52,81,58.59,1,16,1.58,0.00,0.50,113,0,100,100,0,-8.26,1050,107,106,2.60,14.2,2,0.00,845,688,0
4.705,107,106,1.00,13.82,13.52,13.52,13.52,81,58.34,1,16,1.61,0.00,0.00,113,0,100,100,0,-8.26,1062,107,106,2.40,14.2,2,0.00,864,709,0
4.761,107,105,1.00,13.82,13.52,13.52,13.52,81,58.23,1,16,1.61,-0.50,0.00,113,0,100,100,0,-8.30,1062,107,105,2.40,14.2,2,0.00,865,712,0
4.810,107,105,1.00,13.82,13.52,13.52,13.52,81,58.77,1,15,1.63,0.00,0.50,113,0,100,100,0,-8.37,1075,107,105,2.40,14.2,2,0.00,879,733,0
4.869,107,105,1.00,13.67,13.52,13.38,13.52,81,57.94,1,15,1.63,-0.50,0.00,113,0,100,100,0,-8.30,1075,107,105,2.40,14.2,2,0.00,885,742,0
4.936,107,105,1.00,13.67,13.52,13.38,13.52,81,58.41,1,15,1.61,0.00,0.50,113,0,100,100,0,-8.37,1075,107,105,2.40,14.2,2,0.00,898,757,0
4.999,107,104,1.00,13.67,13.52,13.38,13.52,81,58.27,1,15,1.65,-0.50,0.00,113,0,100,100,0,-8.30,1088,107,104,2.40,14.2,2,0.00,915,781,0
5.076,107,104,1.00,13.52,13.52,13.23,13.52,81,58.05,1,14,1.64,0.00,0.50,113,0,100,100,0,-8.08,1088,107,104,2.40,14.2,1,0.00,921,792,0
5.131,106,103,1.00,13.52,13.52,13.23,13.52,81,57.83,1,15,1.62,0.00,0.00,113,0,100,100,0,-8.37,1075,106,103,2.40,14.2,1,0.00,916,795,0
5.174,106,103,1.00,13.38,13.52,13.23,13.52,81,58.45,1,14,1.61,0.00,0.00,113,0,100,100,0,-8.48,1088,106,103,2.40,14.2,1,0.00,932,816,0
5.243,105,103,1.00,13.38,13.52,13.23,13.52,81,58.05,1,14,1.59,0.50,0.00,113,0,100,100,0,-8.44,1075,105,103,2.40,14.2,1,0.00,940,832,0
5.296,105,103,1.00,13.23,13.52,13.23,13.52,81,58.41,1,15,1.59,0.00,0.00,113,0,100,100,0,-8.44,1062,105,103,2.40,14.2,1,0.00,948,846,0
5.346,105,103,1.00,13.23,13.52,13.23,13.52,81,58.30,1,16,1.58,0.00,0.00,113,0,100,100,0,-8.37,1062,105,103,2.40,14.2,1,0.00,938,841,0
5.406,105,103,1.00,13.23,13.52,13.23,13.52,81,58.56,1,16,1.56,0.00,0.50,113,0,100,100,0,-8.44,1038,105,103,2.40,14.2,1,0.00,937,844,0
5.454,105,103,1.00,13.23,13.52,13.23,13.52,81,58.16,1,16,1.55,0.50,0.00,113,0,100,100,0,-8.37,1038,105,103,2.40,14.2,1,0.00,930,838,0
5.513,104,103,1.00,13.23,13.52,13.38,13.52,81,58.12,1,16,1.55,0.00,0.50,113,0,100,100,0,-8.44,1038,104,103,2.40,14.2,1,0.00,922,832,0
5.566,104,102,1.00,13.38,13.52,13.38,13.52,81,58.30,1,17,1.54,-0.50,0.50,113,0,100,100,0,-8.48,1038,104,102,2.40,14.2,1,0.00,922,835,0
5.620,104,102,1.00,13.38,13.52,13.38,13.52,81,58.01,1,17,1.52,0.00,0.50,113,0,100,100,0,-8.26,1012,104,102,2.40,14.2,1,0.00,925,840,0
5.669,105,102,1.00,13.38,13.52,13.38,13.52,81,58.59,1,17,1.50,0.00,0.50,113,0,100,100,0,-8.37,1012,105,102,2.40,14.2,1,0.00,903,821,0
5.742,105,102,1.00,13.38,13.52,13.38,13.52,81,58.41,1,17,1.50,0.50,0.50,113,0,100,100,0,-8.37,1000,105,102,2.40,14.2,1,0.00,899,820,0
5.809,105,103,1.00,13.52,13.52,13.52,13.52,81,58.41,1,17,1.51,0.00,0.50,113,0,100,100,0,-8.26,1000,105,103,2.40,14.1,1,0.00,903,825,0
5.855,105,103,1.00,13.52,13.52,13.52,13.52,81,58.12,1,17,1.52,0.00,0.50,113,0,100,100,0,-8.19,1012,105,103,2.40,14.2,1,0.00,911,835,0
5.918,105,103,1.00,13.67,13.52,13.52,13.52,81,58.56,1,17,1.49,0.00,0.50,113,0,100,100,0,-8.19,988,105,103,2.60,14.1,1,0.00,904,830,0
5.974,106,104,1.00,13.67,13.52,13.67,13.52,81,58.34,1,17,1.60,0.00,0.50,113,0,100,100,0,-7.61,1000,106,104,2.40,14.2,1,0.00,906,833,0
6.029,106,104,1.00,13.67,13.52,13.67,13.52,81,58.88,1,17,1.58,0.00,0.50,113,0,100,100,0,-8.01,1000,106,104,2.60,14.2,1,0.00,914,843,0
6.092,106,104,1.00,13.67,13.52,13.67,13.52,81,58.63,1,17,1.57,0.00,0.50,113,0,100,100,0,-8.01,1012,106,104,2.60,14.2,1,0.00,918,849,0
6.148,106,104,1.00,13.67,13.52,13.67,13.52,81,58.74,1,17,1.54,0.00,0.50,113,0,100,100,0,-7.79,1012,106,104,2.40,14.2,1,0.00,926,858,0
6.211,107,104,1.00,13.67,13.52,13.67,13.52,81,58.88,1,17,1.56,0.50,0.50,113,0,100,100,0,-8.01,1012,107,104,2.60,14.1,1,0.00,936,867,0
6.265,107,105,1.00,13.67,13.52,13.67,13.52,81,58.88,1,16,1.63,0.00,0.50,113,0,100,100,0,-8.01,1038,107,105,2.60,14.2,1,0.00,940,869,0
6.330,107,105,1.00,13.67,13.52,13.82,13.52,81,58.45,1,16,1.61,0.00,0.50,113,0,100,100,0,-7.97,1038,107,105,2.60,14.2,1,0.00,941,868,0
6.385,107,105,1.00,13.67,13.52,13.82,13.52,81,58.74,1,16,1.59,-0.50,0.00,113,0,100,100,0,-8.12,1038,107,105,2.60,14.2,1,0.00,952,881,0
6.449,107,105,1.00,13.67,13.52,13.82,13.52,81,58.48,1,16,1.57,0.00,0.50,113,0,100,100,0,-8.08,1038,107,105,2.60,14.2,1,0.00,951,879,0
6.512,106,105,1.00,13.52,13.52,13.82,13.52,81,58.67,1,16,1.61,-0.50,0.00,113,0,100,100,0,-8.12,1062,106,105,2.40,14.1,1,0.00,972,904,0
6.577,105,105,1.00,13.38,13.52,13.67,13.52,81,58.77,1,16,1.62,0.00,0.50,113,0,100,100,0,-8.26,1062,105,105,2.60,14.1,1,0.00,977,909,0
6.641,104,106,1.00,13.23,13.52,13.67,13.52,81,58.23,1,15,1.59,0.00,0.00,113,0,100,100,0,-8.19,1062,104,106,2.40,14.1,1,0.00,983,915,0
6.707,104,105,1.00,13.08,13.52,13.67,13.52,81,58.01,1,15,1.64,-0.50,0.00,113,0,100,100,0,-8.26,1088,104,105,2.40,14.1,1,0.00,995,927,0
6.760,103,105,1.00,12.94,13.52,13.67,13.52,81,58.52,1,14,1.61,0.00,0.50,113,0,100,100,0,-8.26,1088,103,105,2.60,14.1,1,0.00,1007,939,0
6.823,102,105,1.00,12.94,13.52,13.52,13.52,81,58.12,1,14,1.62,-0.50,0.00,113,0,100,100,0,-8.26,1088,102,105,2.40,14.1,1,0.00,1007,939,0
6.871,102,105,1.00,12.79,13.52,13.52,13.52,81,58.19,1,14,1.60,0.00,0.50,113,0,100,100,0,-8.37,1088,102,105,2.40,14.1,1,0.00,1007,939,0
6.918,101,105,1.00,12.79,13.52,13.52,13.52,81,57.83,1,15,1.61,-0.50,0.00,113,0,100,100,0,-8.44,1100,101,105,2.40,14.1,1,0.00,1004,936,0
6.991,101,104,1.00,12.79,13.52,13.52,13.52,81,58.38,1,14,1.59,0.00,0.50,113,0,100,100,0,-8.48,1088,101,104,2.40,14.1,1,0.00,1008,940,0
7.070,101,105,1.00,12.94,13.52,13.38,13.52,81,58.01,1,15,1.57,-0.50,0.00,113,0,100,100,0,-8.48,1075,101,105,2.40,14.1,1,0.00,990,923,0
7.123,100,104,1.00,12.94,13.52,13.38,13.52,81,58.16,1,15,1.55,0.00,0.50,113,0,100,100,0,-8.55,1062,100,104,2.40,14.1,1,0.00,987,920,0
7.188,100,104,1.00,13.08,13.52,13.38,13.52,81,57.90,1,15,1.55,0.00,0.00,113,0,100,100,0,-8.48,1062,100,104,2.40,14.1,1,0.00,978,911,0
7.248,100,104,1.00,13.23,13.52,13.38,13.52,81,58.27,1,16,1.50,0.00,0.50,113,0,100,100,0,-8.48,1038,100,104,2.40,14.1,1,0.00,956,888,0
7.306,100,104,1.00,13.23,13.52,13.38,13.52,81,57.94,1,17,1.49,0.00,0.50,113,0,100,100,0,-8.55,1025,100,104,2.40,14.1,1,0.00,949,883,0
7.365,100,104,1.00,13.38,13.52,13.38,13.52,81,58.23,1,17,1.53,0.00,0.50,113,0,100,100,0,-8.55,1038,100,104,2.40,14.1,1,0.00,943,876,0
7.431,101,103,1.00,13.38,13.52,13.38,13.52,81,58.45,1,17,1.50,0.00,0.00,113,0,100,100,0,-8.44,1025,101,103,2.40,14.1,1,0.00,943,875,0
7.495,101,103,1.00,13.52,13.52,13.38,13.52,81,58.09,1,17,1.49,0.00,0.50,113,0,100,100,0,-8.44,1012,101,103,2.40,14.1,1,0.00,925,858,0
7.561,102,103,1.00,13.67,13.52,13.38,13.52,81,58.38,1,17,1.48,0.50,0.50,113,0,100,100,0,-8.37,1000,102,103,2.40,14.1,1,0.00,925,859,0
7.624,102,103,1.00,13.67,13.52,13.38,13.52,81,58.05,1,17,1.48,0.00,0.50,113,0,100,100,0,-8.30,1000,102,103,2.40,14.1,1,0.00,917,850,0
7.678,102,103,1.00,13.67,13.52,13.38,13.52,81,58.34,1,17,1.48,0.50,0.50,113,0,100,100,0,-8.26,988,102,103,2.40,14.1,1,0.00,907,842,0
7.737,103,103,1.00,13.82,13.52,13.38,13.52,81,58.41,1,17,1.49,0.00,0.50,113,0,100,100,0,-8.19,988,103,103,2.60,14.1,1,0.00,906,841,0
7.802,103,103,1.00,13.82,13.52,13.52,13.52,81,58.59,1,17,1.49,0.50,0.50,113,0,100,100,0,-8.12,988,103,103,2.60,14.1,1,0.00,912,847,0
7.882,104,104,1.00,13.96,13.52,13.52,13.52,81,58.81,1,17,1.51,0.00,0.50,113,0,100,100,0,-8.01,988,104,104,2.60,14.1,1,0.00,910,847,0
7.935,104,104,1.00,13.96,13.52,13.52,13.52,81,58.52,1,17,1.51,0.50,0.50,113,0,100,100,0,-8.01,988,104,104,2.60,14.1,1,0.00,908,846,0
8.000,104,104,1.00,13.96,13.52,13.52,13.52,81,58.85,1,17,1.52,0.00,0.50,113,0,100,100,0,-8.08,1000,104,104,2.60,14.1,1,0.00,923,862,0
8.070,105,104,1.00,13.96,13.52,13.67,13.52,81,58.70,1,17,1.54,0.00,0.50,113,0,100,100,0,-7.97,1000,105,104,2.60,14.1,1,0.00,930,868,0
8.134,105,104,1.00,13.96,13.52,13.67,13.52,81,58.38,1,17,1.55,0.00,0.50,113,0,100,100,0,-8.08,1012,105,104,2.60,14.1,1,0.00,931,869,0
8.214,106,105,1.00,13.96,13.52,13.67,13.52,81,58.63,1,17,1.55,0.00,0.50,113,0,100,100,0,-8.19,1025,106,105,2.60,14.1,1,0.00,947,887,0
8.279,106,105,1.00,13.96,13.52,13.67,13.52,81,58.81,1,16,1.57,0.00,0.00,113,0,100,100,0,-8.12,1038,106,105,2.60,14.1,1,0.00,963,904,0
8.322,106,105,1.00,13.96,13.52,13.67,13.52,81,58.45,1,16,1.61,-0.50,0.50,113,0,100,100,0,-8.12,1050,106,105,2.60,14.1,1,0.00,967,907,0
8.385,106,105,1.00,13.82,13.52,13.67,13.52,81,58.34,1,16,1.58,0.00,0.50,113,0,100,100,0,-8.30,1050,106,105,2.40,14.1,1,0.00,980,921,0
8.464,106,104,1.00,13.82,13.52,13.67,13.52,81,58.45,1,16,1.58,-0.50,0.00,113,0,100,100,0,-8.26,1050,106,104,2.40,14.1,1,0.00,971,912,0
8.535,105,105,1.00,13.67,13.52,13.52,13.52,81,58.38,1,16,1.58,0.00,0.50,113,0,100,100,0,-8.30,1050,105,105,2.40,14.1,1,0.00,981,924,0
8.579,105,104,1.00,13.52,13.52,13.52,13.52,81,58.16,1,16,1.60,-0.50,0.00,113,0,100,100,0,-8.30,1062,105,104,2.40,14.1,1,0.00,988,931,0
